date,open,high,low,close
"20121012  12:42:00",0.70,0.73,0.68,0.73
"20121012  12:43:00",0.70,0.74,0.68,0.70
"20121012  12:44:00",0.70,0.70,0.69,0.69
"20121012  12:45:00",0.70,0.73,0.62,0.64
"20121012  12:46:00",0.62,0.65,0.60,0.65
"20121012  12:47:00",0.66,0.69,0.63,0.65
"20121012  12:48:00",0.65,0.65,0.48,0.50
"20121012  12:49:00",0.48,0.50,0.43,0.44
"20121012  12:50:00",0.45,0.50,0.30,0.30
"20121012  12:51:00",0.30,0.40,0.29,0.40
"20121012  12:52:00",0.37,0.43,0.37,0.40
"20121012  12:53:00",0.38,0.40,0.38,0.40
"20121012  12:54:00",0.42,0.58,0.35,0.38
"20121012  12:55:00",0.37,0.40,0.36,0.40
"20121012  12:56:00",0.40,0.45,0.40,0.41
"20121012  12:57:00",0.41,0.44,0.41,0.44
"20121012  12:58:00",0.44,0.46,0.40,0.40
"20121012  12:59:00",0.40,0.47,0.30,0.35
"20121012  13:00:00",0.33,0.66,0.14,0.24
"20121012  13:01:00",0.35,1.25,0.22,0.31
"20121012  13:02:00",0.30,1.23,0.25,0.72
"20121012  13:03:00",0.27,0.31,0.25,0.26
"20121012  13:04:00",0.28,0.30,0.28,0.30
"20121012  13:05:00",0.32,0.32,0.29,0.29
"20121012  13:06:00",0.30,0.30,0.29,0.30
"20121012  13:07:00",0.32,0.32,0.30,0.30
"20121012  13:08:00",0.30,0.35,0.30,0.35
"20121012  13:09:00",0.31,0.37,0.31,0.36
"20121012  13:10:00",0.35,0.37,0.27,0.28
"20121012  13:11:00",0.28,0.29,0.25,0.26
"20121012  13:12:00",0.25,0.28,0.23,0.25
"20121012  13:13:00",0.24,0.25,0.20,0.20
"20121012  13:14:00",0.20,0.27,0.18,0.20
"20121012  13:15:00",0.21,0.32,0.20,0.22
"20121012  13:16:00",0.22,0.26,0.21,0.26
"20121012  13:17:00",0.29,0.31,0.26,0.26
"20121012  13:18:00",0.28,0.28,0.27,0.28
"20121012  13:19:00",0.27,0.28,0.25,0.28
"20121012  13:20:00",0.25,0.26,0.25,0.26
"20121012  13:21:00",0.27,0.28,0.26,0.26
"20121012  13:22:00",0.25,0.25,0.21,0.21
"20121012  13:23:00",0.21,0.26,0.21,0.26
"20121012  13:24:00",0.26,0.26,0.26,0.26
"20121012  13:25:00",0.24,0.30,0.24,0.27
"20121012  13:26:00",0.27,0.27,0.25,0.26
"20121012  13:27:00",0.27,0.27,0.25,0.25
"20121012  13:28:00",0.28,0.28,0.23,0.23
"20121012  13:29:00",0.27,0.28,0.25,0.27
